Name,Idx,Lvl,Speed,AC,Attacks,Dam,Body,Str,Int,Wis,Dex,Con,Chr,Life,Disarm,Device,Save,Stealth,Search,Perception,Melee,Bows
"Grishnakh, the Hill Orc",186,10,0,0,0,0,Standard,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Giant piranha",187,10,10,30,0,0,Fish,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Owlbear",188,10,0,20,0,0,Bear,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Blue horror",189,10,0,0,0,0,Standard,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"Hairy mold",190,10,0,15,0,0,Mold,-1,-1,-1,-1,-1,-3,95,="15+5",="18+7",="28+9",1,12,12,="48+13",="20+11"
"Grizzly bear",191,10,0,35,0,0,Bear,5,-2,-2,-1,3,2,111,="25+12",="25+9",="35+12",0,14,12,="70+30",="20+7"
"Disenchanter mold",192,10,0,20,0,0,Mold,2,1,-1,3,1,1,110,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Pseudo dragon",193,10,0,30,0,0,Dragon,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"Tengu",194,10,10,0,0,0,Standard,2,0,-2,4,3,0,108,="42+15",="38+12",="35+10",6,31,34,="65+21",="57+14"
"Creeping gold coins",195,10,-10,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Wolf",196,10,10,30,0,0,Puppy,4,-2,-2,2,2,1,92,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Giant fruit fly",197,10,10,14,0,0,Scrawny,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Panther",198,10,10,30,0,0,Hound,2,1,-1,3,1,1,110,="45+15",="30+8",="36+10",5,32,34,="60+21",="60+14"
"Tax collector",199,10,0,0,0,0,Standard,2,1,-1,3,1,1,99,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Hobbes the Tiger",200,10,10,30,0,0,Hound,2,0,-2,4,3,3,112,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"Shadow Creature of Fiona",201,10,0,0,0,0,Standard,3,1,0,4,0,4,111,="30+12",="25+7",="43+10",4,22,14,="65+30",="61+30"
"Undead mass",202,10,0,12,0,0,Jelly3,-1,-3,3,-1,0,2,100,="25+7",="35+11",="40+12",2,16,18,="48+13",="35+11"
"Chaos shapechanger",203,11,0,14,0,0,Standard,4,-1,-2,-1,4,2,113,="15+7",="24+11",="33+10",0,13,17,="77+20",="43+17"
"Baby multi-hued dragon",204,11,0,30,0,0,Dragon,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"Vorpal bunny",205,11,10,40,0,0,Scrawny,0,-1,-3,1,-1,-4,93,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"Old Man Willow",206,22,0,20,0,0,Tree,6,-2,0,-1,4,1,120,="20+12",="19+7",="36+10",0,14,11,="85+30",="52+30"
"Hippocampus",207,11,0,14,0,0,Horse,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Zombified orc",208,11,0,0,0,0,Standard,6,-8,-8,3,6,-2,124,="20+12",="13+7",="36+10",0,13,7,="85+30",="55+30"
"Hippogriff",209,15,5,60,0,0,Hound,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Black mamba",210,12,10,32,0,0,Snake,2,1,-1,3,1,1,66,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"White wolf",211,12,10,30,0,0,Puppy,4,-2,-2,2,2,1,92,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Grape jelly",212,12,0,1,0,0,Jelly5,-1,-4,2,0,2,1,99,="22+7",="36+11",="39+12",3,15,18,="53+13",="32+11"
"Nether worm mass",213,12,-10,15,0,0,Worm,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Abyss worm mass",214,12,-10,15,0,0,Worm,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Golfimbul, the Hill Orc Chief",215,12,0,0,0,0,Standard,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Swordsman",216,12,0,0,0,0,Standard,7,-4,-3,3,4,3,106,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
"Skaven shaman",217,9,0,15,0,0,Scrawny,-3,-5,1,-3,-2,-3,85,="22+7",="33+11",="38+12",4,16,15,="38+13",="30+11"
"Gazer",218,12,0,18,0,0,Eye,-5,5,-1,3,-1,-3,90,="40+7",="46+15",="45+11",6,22,33,="26+6",="28+7"
"Knight archer",219,12,0,0,0,0,Standard,2,-1,-1,2,1,0,111,="38+12",="24+10",="35+10",4,24,26,="56+18",="82+36"
"Ixitxachitl",220,12,0,30,0,0,Fish,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Mine-dog",221,12,10,0,0,0,Puppy,4,-2,-2,2,2,1,92,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Hellcat",222,12,10,30,0,0,Hound,2,0,-2,4,3,3,112,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"Moon beast",223,12,10,30,0,0,Scrawny,-4,3,0,1,-2,-2,95,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"Master yeek",224,12,0,0,0,0,Standard,-3,-2,1,0,-2,-2,92,="27+7",="38+11",="46+12",5,21,23,="43+13",="32+11"
"Priest",225,12,0,0,0,0,Standard,0,-1,5,1,3,2,100,="29+7",="38+11",="43+12",4,19,21,="63+13",="42+11"
"Dark elven priest",226,12,5,0,0,0,Standard,-2,0,5,1,-2,5,97,="30+7",="42+11",="52+12",5,24,20,="43+13",="41+11"
"Air spirit",227,12,20,40,0,0,Standard,3,-2,-2,-2,2,1,106,="20+7",="20+8",="40+15",-1,12,12,="50+15",="30+15"
"Skeleton human",228,12,0,0,0,0,Standard,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Zombified human",229,12,0,0,0,0,Standard,6,-8,-8,3,6,-2,124,="20+12",="13+7",="36+10",0,13,7,="85+30",="55+30"
"Tiger",230,12,10,40,0,0,Hound,2,1,-1,3,1,1,110,="45+15",="30+8",="36+10",5,32,34,="60+21",="60+14"
"Moaning spirit",231,12,10,0,0,0,Standard,-3,5,1,5,-1,-2,99,="55+15",="47+12",="48+10",10,37,38,="45+21",="55+14"
"Frumious bandersnatch",232,12,10,30,0,0,Centipede4,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Spotted jelly",233,12,10,18,0,0,Jelly5,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"Drider",234,13,0,30,0,0,Drider,1,4,1,5,-1,4,106,="50+15",="44+12",="48+10",8,40,36,="55+21",="66+14"
"Mongbat",235,13,3,80,0,0,Bat,2,-1,-1,2,1,0,80,="25+12",="24+10",="28+10",5,32,28,="35+12",="72+28"
"Killer brown beetle",236,13,0,40,0,0,Beetle,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Boldor, King of the Yeeks",237,13,10,0,0,0,Standard,-6,4,-2,2,-4,-6,87,="32+7",="43+15",="44+11",6,21,35,="29+6",="17+7"
"Ogre",238,13,0,0,0,0,Standard,7,-2,-3,1,5,1,121,="22+12",="15+7",="28+10",-1,13,7,="90+30",="50+30"
"Creeping mithril coins",239,13,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Illusionist",240,15,0,0,0,0,Standard,-3,5,2,3,1,-2,95,="34+7",="43+15",="41+11",5,19,33,="49+6",="27+7"
"Druid",241,13,0,0,0,0,Standard,-1,-3,3,-1,0,2,100,="25+7",="35+11",="40+12",2,16,18,="48+13",="35+11"
"Pink horror",242,16,0,0,0,0,Standard,2,0,-2,1,4,0,109,="17+7",="26+11",="33+10",2,13,22,="70+20",="37+17"
"Cloaker",243,13,5,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Black orc",244,13,0,0,0,0,Standard,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Ochre jelly",245,13,10,18,0,0,Jelly5,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"Software bug",246,14,10,25,0,0,Scrawny,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Lurker",247,14,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Nixie",248,14,0,0,0,0,Standard,3,1,0,4,0,4,111,="30+12",="25+7",="43+10",4,22,14,="65+30",="61+30"
"Vlasta",249,14,10,0,0,0,Scrawny,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Giant white dragon fly",250,14,0,20,0,0,Scrawny,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Snaga sapper",251,14,1,0,0,0,Standard,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Blue icky thing",252,14,-10,0,0,0,Icky,0,0,-2,-1,-2,-4,45,="27+7",="35+11",="34+10",4,18,23,="46+18",="45+15"
"Gibbering mouther",253,14,0,20,0,0,Jelly5,-1,-4,2,0,2,1,99,="22+7",="36+11",="39+12",3,15,18,="53+13",="32+11"
"Irish wolfhound of Flora",254,14,10,20,0,0,Puppy,4,-2,-2,2,2,1,92,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Hill giant",255,17,0,0,0,0,Standard,8,-4,-4,0,5,1,124,="19+12",="13+7",="28+10",-1,13,7,="95+30",="55+30"
"Flesh golem",256,14,0,30,0,0,Standard,8,-7,-7,0,6,1,120,="20+12",="13+7",="37+10",0,13,10,="90+30",="55+30"
"Warg",257,14,10,20,0,0,Hound,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Cheerful leprechaun",258,14,10,0,0,0,Standard,1,2,-2,6,3,3,59,="49+15",="33+10",="48+10",19,51,46,="80+25",="50+11"
"Giant flea",259,14,10,7,0,0,Scrawny,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Ufthak of Cirith Ungol",260,14,0,0,0,0,Standard,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Clay golem",261,15,0,30,0,0,Standard,8,-7,-7,0,6,1,120,="20+12",="13+7",="37+10",0,13,10,="90+30",="55+30"
"Black ogre",262,15,0,0,0,0,Standard,7,-2,-3,1,5,1,121,="22+12",="15+7",="28+10",-1,13,7,="90+30",="50+30"
"Dweller on the threshold",263,15,0,30,0,0,Standard,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"Half-orc",264,15,0,0,0,0,Standard,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Dark naga",265,15,0,0,0,0,Naga,-6,4,-2,2,-4,-6,87,="32+7",="43+15",="44+11",6,21,35,="29+6",="17+7"
"Giant octopus",266,15,-5,60,0,0,Octopus,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Magic mushroom patch",267,15,20,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Plaguebearer of Nurgle",268,15,0,0,0,0,Standard,1,-9,-3,0,4,-1,108,="20+7",="30+11",="45+12",1,15,13,="63+13",="35+11"
"Guardian naga",269,15,0,0,0,0,Naga,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Wererat",270,15,0,10,0,0,Scrawny,-3,-2,1,0,-2,-2,92,="27+7",="38+11",="46+12",5,21,23,="43+13",="32+11"
"Light hound",271,15,0,30,0,0,Hound,2,0,-2,4,3,3,112,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"Shadow hound",272,15,0,30,0,0,Hound,2,0,-2,4,3,3,112,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"Flying skull",273,15,0,0,0,0,Skull,4,-1,-4,2,3,2,115,="20+12",="18+7",="34+10",0,13,10,="80+30",="55+30"
"Mi-Go",274,15,10,30,0,0,Dragon,0,-1,-3,1,-1,-4,93,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"Giant tarantula",275,15,10,32,0,0,Spider,0,2,0,6,3,2,101,="60+15",="45+12",="46+10",10,44,39,="50+21",="70+14"
"Giant clear centipede",276,15,0,30,0,0,Centipede4,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Mirkwood spider",277,15,10,25,0,0,Spider,0,2,0,6,3,2,101,="60+15",="45+12",="46+10",10,44,39,="50+21",="70+14"
"Frost giant",278,20,0,0,0,0,Standard,9,-4,-4,-3,6,2,119,="19+12",="20+9",="32+12",-2,13,7,="95+30",="20+7"
"Griffon",279,15,5,50,0,0,Hound,5,-2,-2,-1,3,2,111,="25+12",="25+9",="35+12",0,14,12,="70+30",="20+7"
"Homonculus",280,15,0,0,0,0,Standard,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"Gnome mage",281,15,0,0,0,0,Standard,-5,5,-1,3,-1,-3,90,="40+7",="46+15",="45+11",6,22,33,="26+6",="28+7"
"Clear hound",282,15,0,30,0,0,Hound,2,0,-2,4,3,3,112,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"Umber hulk",283,16,0,50,0,0,Umber Hulk,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Rust monster",284,16,0,55,0,0,Horse,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Orc captain",285,16,0,0,0,0,Standard,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Gelatinous cube",286,16,0,18,0,0,Jelly5,7,-4,-3,3,4,3,118,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
"Giant green dragon fly",287,16,0,20,0,0,Scrawny,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Fire giant",288,21,0,0,0,0,Standard,9,-4,-4,-3,6,2,119,="19+12",="20+9",="32+12",-2,13,7,="95+30",="20+7"
"Hummerhorn",289,16,10,14,0,0,Scrawny,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Lizardman",290,16,0,0,0,0,Standard,1,-2,-2,0,1,-2,99,="25+5",="16+7",="31+9",1,11,12,="53+13",="23+11"
"Ulfast, Son of Ulfang",291,16,0,0,0,0,Standard,5,0,0,4,5,1,115,="29+12",="21+7",="34+10",3,17,15,="85+30",="62+30"
"Hammerhead",292,16,5,59,0,0,Fish,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Berserker",293,16,3,0,0,0,Standard,9,-18,-18,6,7,4,150,="-96+0",="-997+0",="-197+0",-98,-97,-87,="135+50",="-1993+0"
"Quasit",294,16,0,0,0,0,Standard,2,0,-2,4,3,0,108,="42+15",="38+12",="35+10",6,31,34,="65+21",="57+14"
"Sphinx",295,17,0,80,0,0,Hound,2,1,-1,3,1,1,110,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Imp",296,17,0,0,0,0,Standard,2,0,-2,4,3,0,108,="42+15",="38+12",="35+10",6,31,34,="65+21",="57+14"
"Forest troll",297,17,0,50,0,0,Standard,8,-6,-3,-1,5,-1,123,="20+12",="12+7",="26+10",-1,13,7,="90+30",="49+30"
"Freezing sphere",298,17,10,30,0,0,Orb,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Jumping fireball",299,17,10,30,0,0,Orb,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Ball lightning",300,17,10,30,0,0,Orb,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"2-headed hydra",301,17,0,60,0,0,Hydra1,5,-2,-2,-1,3,2,111,="25+12",="25+9",="35+12",0,14,12,="70+30",="20+7"
"Swamp thing",302,17,0,60,0,0,Standard,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Water spirit",303,17,10,28,0,0,Standard,3,-2,-2,-2,2,1,106,="20+7",="20+8",="40+15",-1,12,12,="50+15",="30+15"
"Giant red scorpion",304,17,0,44,0,0,Scorpion,2,-1,-1,5,4,2,105,="40+12",="26+7",="41+10",6,26,17,="60+30",="65+30"
"Earth spirit",305,17,10,40,0,0,Standard,3,-2,-2,-2,2,1,106,="20+7",="20+8",="40+15",-1,12,12,="50+15",="30+15"
"Fire spirit",306,18,10,30,0,0,Standard,3,-2,-2,-2,2,1,106,="20+7",="20+8",="40+15",-1,12,12,="50+15",="30+15"
"Fire hound",307,18,0,30,0,0,Hound,2,0,-2,4,3,3,112,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"Cold hound",308,18,0,30,0,0,Hound,2,0,-2,4,3,3,112,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"Energy hound",309,18,0,30,0,0,Hound,2,0,-2,4,3,3,112,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"Potion mimic",310,18,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Door mimic",311,18,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Blink dog",312,18,10,20,0,0,Hound,2,1,-1,3,1,1,110,="45+15",="30+8",="36+10",5,32,34,="60+21",="60+14"
"Uruk",313,18,0,0,0,0,Standard,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Shagrat, the Orc Captain",314,18,0,0,0,0,Standard,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Gorbag, the Orc Captain",315,18,0,0,0,0,Standard,6,-3,-2,0,3,0,108,="23+12",="23+9",="34+12",-1,15,10,="80+30",="23+7"
"Shambling mound",316,18,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"White shark",317,18,10,50,0,0,Fish,7,-4,-3,3,4,3,118,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
"Chaos beastman",318,18,0,0,0,0,Standard,4,-1,-2,-1,4,2,113,="15+7",="24+11",="33+10",0,13,17,="77+20",="43+17"
"Daemonette of Slaanesh",319,18,10,0,0,0,Monk,2,0,-2,1,4,0,109,="17+7",="26+11",="33+10",2,13,22,="70+20",="37+17"
"Giant bronze dragon fly",320,18,10,20,0,0,Scrawny,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Stone giant",321,18,0,0,0,0,Standard,8,-4,-4,0,5,1,124,="19+12",="13+7",="28+10",-1,13,7,="95+30",="55+30"
"Giant black dragon fly",322,18,10,20,0,0,Scrawny,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Stone golem",323,19,0,75,0,0,Standard,8,-7,-7,0,6,1,120,="20+12",="13+7",="37+10",0,13,10,="90+30",="55+30"
"Red mold",324,19,0,16,0,0,Mold,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Giant gold dragon fly",325,18,10,20,0,0,Scrawny,2,-4,-4,0,0,-4,67,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Stunwall",326,18,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Ghast",327,19,0,0,0,0,Standard,6,-8,-8,3,6,-2,124,="20+12",="13+7",="36+10",0,13,7,="85+30",="55+30"
"Ixitxachitl priest",328,19,0,40,0,0,Fish,0,-4,3,0,0,0,98,="23+7",="33+11",="39+12",1,17,16,="58+13",="38+11"
"Huorn",329,19,0,45,0,0,Tree,3,-1,1,-2,2,2,108,="15+7",="26+10",="37+10",1,18,25,="67+14",="60+25"
"Bolg, Son of Azog",330,24,5,0,0,0,Standard,6,-3,-2,0,3,0,108,="23+12",="23+9",="34+12",-1,15,10,="80+30",="23+7"
"Phase spider",331,20,10,25,0,0,Spider,0,2,0,6,3,2,101,="60+15",="45+12",="46+10",10,44,39,="50+21",="70+14"
"Lizard king",332,20,10,0,0,0,Standard,6,-3,-3,3,4,2,120,="35+12",="16+7",="34+10",1,13,12,="75+30",="58+30"
"Landmine",333,20,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Wyvern",334,20,10,65,0,0,Dragon,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"Great eagle",335,35,25,65,0,0,Giant Bird,5,-1,-1,3,3,2,92,="27+12",="20+7",="32+10",0,14,9,="80+30",="58+30"
"Livingstone",336,20,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Earth hound",337,20,0,30,0,0,Hound,2,0,-2,4,3,3,112,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"Air hound",338,20,0,30,0,0,Hound,2,0,-2,4,3,3,112,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"Sabre-tooth tiger",339,20,10,50,0,0,Hound,3,3,1,5,4,1,110,="49+15",="33+8",="39+10",7,35,37,="75+21",="67+14"
"Water hound",340,20,0,30,0,0,Hound,2,0,-2,4,3,3,112,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"Chimera",341,20,0,15,0,0,Dragon,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Quylthulg",342,20,0,0,0,0,Quylthulg,-5,0,-2,2,0,11,65,="30+7",="48+18",="75+13",2,12,32,="0+0",="0+0"
"Sasquatch",343,20,10,40,0,0,Standard,5,-2,-2,-1,3,2,111,="25+12",="25+9",="35+12",0,14,12,="70+30",="20+7"
"Weir",344,20,0,30,0,0,Weir,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Whale",345,20,0,50,0,0,Fish,7,-4,-3,3,4,3,118,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
"Electric eel",346,20,0,40,0,0,Snake,2,1,-1,3,1,1,66,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Werewolf",347,20,0,30,0,0,Hound,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Dark elven lord",348,20,10,0,0,0,Standard,1,4,1,2,0,4,107,="25+7",="32+11",="46+10",4,22,24,="60+20",="46+17"
"Cloud giant",349,30,2,0,0,0,Standard,9,-4,-4,-3,6,2,119,="19+12",="20+9",="32+12",-2,13,7,="95+30",="20+7"
"Ugluk, the Uruk",350,20,0,0,0,0,Standard,6,-3,-2,0,3,0,108,="23+12",="23+9",="34+12",-1,15,10,="80+30",="23+7"
"Blue dragon bat",351,21,20,26,0,0,Bat,0,0,-3,3,-1,-4,55,="27+12",="27+10",="34+10",8,37,33,="30+12",="69+28"
"Scroll mimic",352,21,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Chest mimic",353,21,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Fire vortex",354,21,0,30,0,0,Vortex3,0,-8,-8,-1,6,-2,114,="15+7",="15+8",="45+15",-2,11,7,="65+15",="30+15"
"Water vortex",355,21,0,30,0,0,Vortex4,0,-8,-8,-1,6,-2,114,="15+7",="15+8",="45+15",-2,11,7,="65+15",="30+15"
"Lugdush, the Uruk",356,21,0,0,0,0,Standard,6,-3,-2,0,3,0,108,="23+12",="23+9",="34+12",-1,15,10,="80+30",="23+7"
"Arch-vile",357,21,15,0,0,0,Standard,2,0,-2,1,4,0,109,="17+7",="26+11",="33+10",2,13,22,="70+20",="37+17"
"Cold vortex",358,21,0,30,0,0,Vortex3,0,-8,-8,-1,6,-2,114,="15+7",="15+8",="45+15",-2,11,7,="65+15",="30+15"
"Energy vortex",359,21,0,30,0,0,Vortex4,0,-8,-8,-1,6,-2,114,="15+7",="15+8",="45+15",-2,11,7,="65+15",="30+15"
"Globefish",360,21,0,30,0,0,Fish,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Carrion",361,15,5,50,0,0,Bird,3,-8,-8,2,4,-4,124,="20+12",="13+7",="36+10",0,13,7,="85+30",="55+30"
"Mummified orc",362,21,0,0,0,0,Standard,6,-8,-8,3,6,-2,124,="20+12",="13+7",="36+10",0,13,7,="85+30",="55+30"
"Killer whale",363,22,5,55,0,0,Fish,7,-4,-3,3,4,3,118,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
"Serpent man",364,22,5,0,0,0,Standard,2,1,-1,3,1,1,99,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Vampiric mist",365,22,0,0,0,0,Vampire,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Killer stag beetle",366,22,0,55,0,0,Beetle,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Iron golem",367,22,0,80,0,0,Standard,9,-7,-7,-3,7,2,116,="20+12",="20+9",="41+12",-1,13,10,="90+30",="20+7"
"Auto-roller",368,22,10,80,0,0,Auto-roller,8,-7,-7,0,6,1,120,="20+12",="13+7",="37+10",0,13,10,="90+30",="55+30"
"Giant yellow scorpion",369,22,0,38,0,0,Scorpion,2,-1,-1,5,4,2,105,="40+12",="26+7",="41+10",6,26,17,="60+30",="65+30"
"Jade monk",370,30,10,0,0,0,Monk,3,1,3,5,5,1,110,="49+15",="37+11",="39+10",7,35,37,="79+18",="67+18"
"Black ooze",371,23,-20,6,0,0,Jelly3,-3,0,-3,0,-3,-7,87,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Hardened warrior",372,23,0,0,0,0,Standard,5,0,0,4,5,1,115,="29+12",="21+7",="34+10",3,17,15,="85+30",="62+30"
"Azog, King of the Uruk-Hai",373,28,10,0,0,0,Standard,7,-3,-2,1,4,1,108,="23+12",="23+9",="34+12",-1,15,10,="80+30",="23+7"
"Fleshhound of Khorne",374,23,10,30,0,0,Hound,7,-4,-3,3,4,3,118,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
